split,group_col,group_value,nominal_coverage,empirical_coverage,coverage_gap,n_rows,mean_predicted_sigma,mean_abs_residual,enough_sample
validation,season,fall,0.5,0.592948717948718,0.09294871794871795,2184,1.0698086836951335,0.8290146348273273,True
validation,season,fall,0.8,0.8690476190476191,0.06904761904761902,2184,1.0698086836951335,0.8290146348273273,True
validation,season,fall,0.9,0.9381868131868132,0.03818681318681316,2184,1.0698086836951335,0.8290146348273273,True
validation,season,spring,0.5,0.5955615942028986,0.09556159420289856,2208,1.14735995724048,0.8968207775099648,True
validation,season,spring,0.8,0.8704710144927537,0.07047101449275361,2208,1.14735995724048,0.8968207775099648,True
validation,season,spring,0.9,0.9257246376811594,0.0257246376811594,2208,1.14735995724048,0.8968207775099648,True
validation,season,summer,0.5,0.5040760869565217,0.0040760869565217295,2208,1.1549229915739514,0.9320948375081177,True
validation,season,summer,0.8,0.8274456521739131,0.027445652173913038,2208,1.1549229915739514,0.9320948375081177,True
validation,season,summer,0.9,0.916213768115942,0.016213768115941996,2208,1.1549229915739514,0.9320948375081177,True
validation,season,winter,0.5,0.5105311355311355,0.010531135531135494,2184,1.0605978833048368,1.0067416937592726,True
validation,season,winter,0.8,0.798992673992674,-0.0010073260073260037,2184,1.0605978833048368,1.0067416937592726,True
validation,season,winter,0.9,0.8644688644688645,-0.035531135531135516,2184,1.0605978833048368,1.0067416937592726,True
test,season,fall,0.5,0.5645604395604396,0.06456043956043955,2184,1.0809601343707431,0.8575322252213753,True
test,season,fall,0.8,0.8621794871794872,0.06217948717948718,2184,1.0809601343707431,0.8575322252213753,True
test,season,fall,0.9,0.9290293040293041,0.029029304029304037,2184,1.0809601343707431,0.8575322252213753,True
test,season,spring,0.5,0.47278420038535646,-0.027215799614643543,4152,1.1462432338399446,1.1515775609062773,True
test,season,spring,0.8,0.7483140655105973,-0.05168593448940273,4152,1.1462432338399446,1.1515775609062773,True
test,season,spring,0.9,0.8644026974951831,-0.03559730250481696,4152,1.1462432338399446,1.1515775609062773,True
test,season,summer,0.5,0.4053442028985507,-0.09465579710144928,2208,1.1591164488042762,1.2047809905019848,True
test,season,summer,0.8,0.7327898550724637,-0.0672101449275363,2208,1.1591164488042762,1.2047809905019848,True
test,season,summer,0.9,0.873641304347826,-0.02635869565217397,2208,1.1591164488042762,1.2047809905019848,True
test,season,winter,0.5,0.36717002237136465,-0.13282997762863535,3576,1.1017769576581578,1.3467709732181343,True
test,season,winter,0.8,0.700503355704698,-0.09949664429530203,3576,1.1017769576581578,1.3467709732181343,True
test,season,winter,0.9,0.8112416107382551,-0.08875838926174495,3576,1.1017769576581578,1.3467709732181343,True
