distribution,sigma_factor,split,nll,market_mean_bucket_brier,market_log_loss,pricing_seconds
normal,0.8,validation,1.355447159322619,0.0784130257957184,0.9517102900162737,10.854
normal,0.8,test,1.814183029456061,0.08986860617562437,1.129367449939404,15.553
normal,0.9,validation,1.302853586068838,0.07781677410858451,0.915063549217783,10.975
normal,0.9,test,1.6747575424414334,0.08783796326777987,1.0621342780832081,15.803
normal,1.0,validation,1.2863447155885703,0.07779250661486435,0.8981449664108205,11.157
normal,1.0,test,1.5961383148239956,0.08649341179847987,1.0213375636490547,16.802
normal,1.1,validation,1.2914853321824131,0.07818622459773009,0.8941628230524212,12.555
normal,1.1,test,1.5553242913611498,0.0856844549972786,0.9981009560967812,17.489
normal,1.2,validation,1.3099153614921129,0.07888518567924006,0.8988802175023667,12.558
normal,1.2,test,1.5388020481409612,0.08529312990799404,0.9865987603749375,17.454
normal,1.3,validation,1.3365856542616645,0.07980719604811054,0.9095453527323561,12.441
normal,1.3,test,1.5382712541076022,0.08522814462269152,0.9831638739427963,16.595
laplace,0.8,validation,1.1322053783429693,0.07993499323950877,0.9322749447915445,14.296
laplace,0.8,test,1.4264837708441804,0.09105151578176496,1.0560889896324852,19.686
laplace,0.9,validation,1.127326690785687,0.07901512450330107,0.9180794706125883,14.051
laplace,0.9,test,1.3966546970774367,0.08900658254676158,1.0268308142908777,19.474
laplace,1.0,validation,1.1345578278725805,0.07857659046499389,0.912680056326167,13.982
laplace,1.0,test,1.3839255251967608,0.08754203093130514,1.0087538861538095,19.554
laplace,1.1,validation,1.1495803343006876,0.0785005756617385,0.9133525123950484,14.071
laplace,1.1,test,1.3826168697423116,0.08653021453815464,0.9985220436339696,19.483
laplace,1.2,validation,1.169685316810136,0.0786989517892296,0.9183073938940736,14.065
laplace,1.2,test,1.3891125506829627,0.08587409251244195,0.9939341763150585,19.575
laplace,1.3,validation,1.1931149214619803,0.07910595980216958,0.9263299783647126,14.434
laplace,1.3,test,1.4010265924689023,0.08549947216236149,0.9934873664162964,19.933
