split,group_col,group_value,level,count,actual_coverage,expected_coverage,coverage_error,avg_interval_width,enough_sample
validation,prediction_hour,0.0,0.8,4,1.0,0.8,0.19999999999999996,3.991365658203847,False
validation,prediction_hour,1.0,0.8,365,0.7945205479452054,0.8,-0.005479452054794609,3.894248466483807,True
validation,prediction_hour,2.0,0.8,365,0.7945205479452054,0.8,-0.005479452054794609,3.8899448836903714,True
validation,prediction_hour,3.0,0.8,365,0.7945205479452054,0.8,-0.005479452054794609,3.8914695716683165,True
validation,prediction_hour,4.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.884809951857425,True
validation,prediction_hour,5.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.880595148853961,True
validation,prediction_hour,6.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.881922381525684,True
validation,prediction_hour,7.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.884130040266047,True
validation,prediction_hour,8.0,0.8,365,0.7917808219178082,0.8,-0.008219178082191858,3.880437026614356,True
validation,prediction_hour,9.0,0.8,365,0.8054794520547945,0.8,0.005479452054794498,3.88260272100496,True
validation,prediction_hour,10.0,0.8,365,0.8273972602739726,0.8,0.0273972602739726,3.895935316321942,True
validation,prediction_hour,11.0,0.8,365,0.852054794520548,0.8,0.05205479452054795,3.9204660073560804,True
validation,prediction_hour,12.0,0.8,365,0.8657534246575342,0.8,0.0657534246575342,3.9065914348150015,True
validation,prediction_hour,13.0,0.8,365,0.8684931506849315,0.8,0.06849315068493145,3.8761866012969115,True
validation,prediction_hour,14.0,0.8,364,0.8846153846153846,0.8,0.08461538461538454,3.806580667477465,True
validation,prediction_hour,15.0,0.8,364,0.8901098901098901,0.8,0.09010989010989001,3.788470854310602,True
validation,prediction_hour,16.0,0.8,364,0.8956043956043956,0.8,0.0956043956043956,3.752002672565285,True
validation,prediction_hour,17.0,0.8,365,0.9068493150684932,0.8,0.10684931506849316,3.7640057188047824,True
validation,prediction_hour,18.0,0.8,365,0.9095890410958904,0.8,0.1095890410958904,3.7663687038633595,True
validation,prediction_hour,19.0,0.8,365,0.9068493150684932,0.8,0.10684931506849316,3.7689119480655915,True
validation,prediction_hour,20.0,0.8,365,0.9095890410958904,0.8,0.1095890410958904,3.7713965417420017,True
validation,prediction_hour,21.0,0.8,365,0.9123287671232877,0.8,0.11232876712328765,3.7806075391440412,True
validation,prediction_hour,22.0,0.8,365,0.9123287671232877,0.8,0.11232876712328765,3.7836534450759887,True
validation,prediction_hour,23.0,0.8,365,0.9205479452054794,0.8,0.1205479452054794,3.797416001209596,True
validation,season,0.0,0.8,2071,0.8604538870111057,0.8,0.060453887011105656,3.8566543101007333,True
validation,season,1.0,0.8,2119,0.7489381783860312,0.8,-0.05106182161396888,3.9090000506538995,True
validation,season,2.0,0.8,2114,0.826868495742668,0.8,0.02686849574266792,3.857650210640886,True
validation,season,3.0,0.8,2092,0.9799235181644359,0.8,0.17992351816443586,3.7411753153223475,True
validation,forecast_horizon_hours,-8.0,0.8,365,0.9205479452054794,0.8,0.1205479452054794,3.797416001209596,True
validation,forecast_horizon_hours,-7.0,0.8,365,0.9123287671232877,0.8,0.11232876712328765,3.7836534450759887,True
validation,forecast_horizon_hours,-6.0,0.8,365,0.9123287671232877,0.8,0.11232876712328765,3.7806075391440412,True
validation,forecast_horizon_hours,-5.0,0.8,365,0.9095890410958904,0.8,0.1095890410958904,3.7713965417420017,True
validation,forecast_horizon_hours,-4.0,0.8,365,0.9068493150684932,0.8,0.10684931506849316,3.7689119480655915,True
validation,forecast_horizon_hours,-3.0,0.8,365,0.9095890410958904,0.8,0.1095890410958904,3.7663687038633595,True
validation,forecast_horizon_hours,-2.0,0.8,365,0.9068493150684932,0.8,0.10684931506849316,3.7640057188047824,True
validation,forecast_horizon_hours,-1.0,0.8,364,0.8956043956043956,0.8,0.0956043956043956,3.752002672565285,True
validation,forecast_horizon_hours,0.0,0.8,364,0.8901098901098901,0.8,0.09010989010989001,3.788470854310602,True
validation,forecast_horizon_hours,1.0,0.8,364,0.8846153846153846,0.8,0.08461538461538454,3.806580667477465,True
validation,forecast_horizon_hours,2.0,0.8,365,0.8684931506849315,0.8,0.06849315068493145,3.8761866012969115,True
validation,forecast_horizon_hours,3.0,0.8,365,0.8657534246575342,0.8,0.0657534246575342,3.9065914348150015,True
validation,forecast_horizon_hours,4.0,0.8,365,0.852054794520548,0.8,0.05205479452054795,3.9204660073560804,True
validation,forecast_horizon_hours,5.0,0.8,365,0.8273972602739726,0.8,0.0273972602739726,3.895935316321942,True
validation,forecast_horizon_hours,6.0,0.8,365,0.8054794520547945,0.8,0.005479452054794498,3.88260272100496,True
validation,forecast_horizon_hours,7.0,0.8,365,0.7917808219178082,0.8,-0.008219178082191858,3.880437026614356,True
validation,forecast_horizon_hours,8.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.884130040266047,True
validation,forecast_horizon_hours,9.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.881922381525684,True
validation,forecast_horizon_hours,10.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.880595148853961,True
validation,forecast_horizon_hours,11.0,0.8,365,0.7972602739726027,0.8,-0.00273972602739736,3.884809951857425,True
validation,forecast_horizon_hours,12.0,0.8,365,0.7945205479452054,0.8,-0.005479452054794609,3.8914695716683165,True
