split,method,threshold,prob_bin,mean_predicted_probability,empirical_frequency,count,calibration_error,bin_lower,bin_upper
validation,global_sigma_scaled,-3.0,0.2-0.3,0.24624201247950633,0.1819672131147541,610,-0.06427479936475222,0.2,0.30000000000000004
validation,global_sigma_scaled,-3.0,0.3-0.4,0.3467035829651677,0.4296482412060301,398,0.08294465824086245,0.30000000000000004,0.4
validation,global_sigma_scaled,-3.0,0.4-0.5,0.44757721579317344,0.5576923076923077,156,0.11011509189913427,0.4,0.5
validation,global_sigma_scaled,-3.0,0.5-0.6,0.5477940672374044,0.8165137614678899,109,0.2687196942304855,0.5,0.6000000000000001
validation,global_sigma_scaled,-3.0,0.6-0.7,0.6499634143348881,0.957983193277311,119,0.30801977894242283,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,-3.0,0.7-0.8,0.7487002070699357,0.978494623655914,93,0.22979441658597832,0.7000000000000001,0.8
validation,global_sigma_scaled,-3.0,0.8-0.9,0.8586616127957467,1.0,82,0.1413383872042533,0.8,0.9
validation,global_sigma_scaled,-3.0,0.9-1.0,0.9261157105325488,1.0,23,0.07388428946745118,0.9,1.0
validation,global_sigma_scaled,-2.0,0.0-0.1,0.017262873041623425,0.027548209366391185,3630,0.01028533632476776,0.0,0.1
validation,global_sigma_scaled,-2.0,0.1-0.2,0.14654658336961046,0.15292353823088456,1334,0.006376954861274098,0.1,0.2
validation,global_sigma_scaled,-2.0,0.2-0.3,0.24814057519308055,0.2585812356979405,874,0.01044066050485995,0.2,0.30000000000000004
validation,global_sigma_scaled,-2.0,0.3-0.4,0.344918923820056,0.3135593220338983,708,-0.03135960178615771,0.30000000000000004,0.4
validation,global_sigma_scaled,-2.0,0.4-0.5,0.44755386938380515,0.3815789473684211,608,-0.06597492201538407,0.4,0.5
validation,global_sigma_scaled,-2.0,0.5-0.6,0.5470643484230437,0.510250569476082,439,-0.036813778946961695,0.5,0.6000000000000001
validation,global_sigma_scaled,-2.0,0.6-0.7,0.6509443490731195,0.583596214511041,317,-0.06734813456207844,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,-2.0,0.7-0.8,0.748734203529932,0.7824074074074074,216,0.03367320387747541,0.7000000000000001,0.8
validation,global_sigma_scaled,-2.0,0.8-0.9,0.8527996243150342,0.9593908629441624,197,0.10659123862912823,0.8,0.9
validation,global_sigma_scaled,-2.0,0.9-1.0,0.9739502768977687,0.9913232104121475,461,0.017372933514378852,0.9,1.0
validation,global_sigma_scaled,-1.0,0.0-0.1,0.010081056436376419,0.006777893639207508,1918,-0.003303162797168911,0.0,0.1
validation,global_sigma_scaled,-1.0,0.1-0.2,0.15752703347333807,0.21414538310412573,509,0.05661834963078766,0.1,0.2
validation,global_sigma_scaled,-1.0,0.2-0.3,0.2518067567592037,0.2619974059662776,771,0.010190649207073854,0.2,0.30000000000000004
validation,global_sigma_scaled,-1.0,0.3-0.4,0.3474955652922289,0.4028950542822678,829,0.05539948899003888,0.30000000000000004,0.4
validation,global_sigma_scaled,-1.0,0.4-0.5,0.4506123013156624,0.4898989898989899,792,0.03928668858332751,0.4,0.5
validation,global_sigma_scaled,-1.0,0.5-0.6,0.5515074627252035,0.468503937007874,762,-0.08300352571732944,0.5,0.6000000000000001
validation,global_sigma_scaled,-1.0,0.6-0.7,0.6521709669914972,0.5578778135048231,622,-0.09429315348667411,0.6000000000000001,0.7000000000000001
validation,global_sigma_scaled,-1.0,0.7-0.8,0.7444853312949473,0.5930408472012103,661,-0.151444484093737,0.7000000000000001,0.8
validation,global_sigma_scaled,-1.0,0.8-0.9,0.8514776048330437,0.830078125,512,-0.02139947983304369,0.8,0.9
validation,global_sigma_scaled,-1.0,0.9-1.0,0.9818984399178924,0.9893465909090909,1408,0.007448150991198554,0.9,1.0
validation,global_sigma_scaled,0.0,0.0-0.1,0.012953768005779442,0.0009852216748768472,1015,-0.011968546330902595,0.0,0.1
validation,global_sigma_scaled,0.0,0.1-0.2,0.14910122655017433,0.015151515151515152,132,-0.1339497113986592,0.1,0.2
validation,global_sigma_scaled,0.0,0.2-0.3,0.25897275162868305,0.12931034482758622,116,-0.12966240680109684,0.2,0.30000000000000004
validation,global_sigma_scaled,0.0,0.3-0.4,0.35694005265046796,0.4647887323943662,213,0.10784867974389822,0.30000000000000004,0.4
