row_id,split,date,timestamp,prediction_time,prediction_timestamp,location,forecast_high,actual_high,forecast_horizon_hours,forecast_error,mu,sigma,nll,distribution_type,skew,sigma_scale
21,validation,2024-01-01,2024-01-01 22:00:00,2024-01-01 22:00:00,2024-01-01 22:00:00,NYC,45.04998901367192,47.0,-7.0,1.9500109863,0.11628481229999514,1.425695764619147,1.4108974108555628,skew_normal,2.1128199939178525,1.0
22,validation,2024-01-01,2024-01-01 23:00:00,2024-01-01 23:00:00,2024-01-01 23:00:00,NYC,45.04998901367192,47.0,-8.0,1.9500109863,0.11823815316692907,1.4228194859141676,1.4104313619254052,skew_normal,2.1128199939178525,1.0
23,validation,2024-01-02,2024-01-02 01:00:00,2024-01-02 01:00:00,2024-01-02 01:00:00,NYC,43.069978027343794,42.0,14.0,-1.0699780273,-1.990442368806241,3.5545946945973013,1.9513833193436025,skew_normal,1.535450260895799,1.0
24,validation,2024-01-02,2024-01-02 02:00:00,2024-01-02 02:00:00,2024-01-02 02:00:00,NYC,43.069978027343794,42.0,13.0,-1.0699780273,-1.9922565663269924,3.2876739339043164,1.8609119559099996,skew_normal,1.534591767529151,1.0
25,validation,2024-01-02,2024-01-02 03:00:00,2024-01-02 03:00:00,2024-01-02 03:00:00,NYC,43.069978027343794,42.0,12.0,-1.0699780273,-2.013981672983817,3.291725196173415,1.8587059654817557,skew_normal,1.534591767529151,1.0
26,validation,2024-01-02,2024-01-02 04:00:00,2024-01-02 04:00:00,2024-01-02 04:00:00,NYC,43.069978027343794,42.0,11.0,-1.0699780273,-1.9970285402215733,3.322011024892285,1.8721188092161642,skew_normal,1.534591767529151,1.0
27,validation,2024-01-02,2024-01-02 05:00:00,2024-01-02 05:00:00,2024-01-02 05:00:00,NYC,43.069978027343794,42.0,10.0,-1.0699780273,-1.9928267937661441,3.300958596062634,1.8654778586167113,skew_normal,1.534591767529151,1.0
28,validation,2024-01-02,2024-01-02 06:00:00,2024-01-02 06:00:00,2024-01-02 06:00:00,NYC,43.069978027343794,42.0,9.0,-1.0699780273,-1.9928267937661441,3.2965929981459254,1.8641125114182024,skew_normal,1.5335138885651673,1.0
29,validation,2024-01-02,2024-01-02 07:00:00,2024-01-02 07:00:00,2024-01-02 07:00:00,NYC,43.069978027343794,42.0,8.0,-1.0699780273,-1.9928267937661441,3.160203343955308,1.81528658989554,skew_normal,1.5335138885651673,1.0
30,validation,2024-01-02,2024-01-02 08:00:00,2024-01-02 08:00:00,2024-01-02 08:00:00,NYC,43.069978027343794,42.0,7.0,-1.0699780273,-1.9928267937661441,3.1524500998058818,1.8124497712322118,skew_normal,1.5335138885651673,1.0
