run_name,num_features,validation_nll,validation_sigma_mean,validation_sigma_median,elapsed_seconds,status,error,missing_or_infinite_values,removed_feature,delta_vs_baseline
remove_temp_minus_dew_point,38,1.3336873621568188,1.0998247322674835,1.3509895351433965,18.417,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_minus_dew_point,0.009686712403191633
remove_wind_dir_sin,38,1.3283563735879838,1.098064524972038,1.3310636848267885,18.739,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",wind_dir_sin,0.004355723834356562
remove_wind_dir_cos,38,1.323996139385091,1.0979739877480408,1.3321864104395873,18.64,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",wind_dir_cos,-4.510368536214671e-06
remove_max_temp_so_far,38,1.3346076668354396,1.0950020980801822,1.3226747796546388,18.919,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",max_temp_so_far,0.010607017081812442
remove_temp_change_60m,38,1.323996139385091,1.0979739877480408,1.332186410439587,19.041,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 19, ""total_values_imputed_or_replaced"": 19}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_change_60m,-4.510368536214671e-06
remove_temp_change_120m,38,1.3278634293624347,1.0984346442037398,1.3279275310615637,19.147,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 18, ""total_values_imputed_or_replaced"": 18}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_change_120m,0.003862779608807543
remove_temp_change_180m,38,1.324001141471894,1.0979739877480408,1.3321864104395873,18.985,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 17, ""total_values_imputed_or_replaced"": 17}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_change_180m,4.917182667707465e-07
remove_temp_change_240m,38,1.323996139385091,1.0979739877480408,1.332186410439587,18.775,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 16, ""total_values_imputed_or_replaced"": 16}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_change_240m,-4.510368536214671e-06
remove_temp_change_300m,38,1.324001141471894,1.0979739877480408,1.3321864104395869,17.734,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 15, ""total_values_imputed_or_replaced"": 15}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_change_300m,4.917182667707465e-07
remove_temp_acceleration_60m,38,1.3239961393850908,1.0979739877480408,1.3321864104395873,16.729,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 18, ""total_values_imputed_or_replaced"": 18}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_acceleration_60m,-4.510368536436715e-06
remove_temp_change_60m_minus_3h_avg_rate,38,1.324001141471894,1.0979739877480408,1.3321864104395873,16.062,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 17, ""total_values_imputed_or_replaced"": 17}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_change_60m_minus_3h_avg_rate,4.917182667707465e-07
remove_forecast_temp_current_hour,38,1.324001141471894,1.0979739877480408,1.3321864104395873,15.888,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",forecast_temp_current_hour,4.917182667707465e-07
remove_current_temp_minus_forecast_temp,38,1.3250764271146056,1.0995023673563356,1.3262650104863238,16.022,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",current_temp_minus_forecast_temp,0.0010757773609784138
remove_forecast_max_so_far,38,1.3293164590878364,1.0959263104927917,1.318952286488954,15.961,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",forecast_max_so_far,0.005315809334209165
remove_max_so_far_minus_forecast_max_so_far,38,1.3240006497536274,1.0979739877480408,1.3321864104395869,16.056,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",max_so_far_minus_forecast_max_so_far,2.220446049250313e-16
remove_current_temp_minus_max_so_far,38,1.3280995179415374,1.094632106010751,1.3281366662871616,16.047,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",current_temp_minus_max_so_far,0.004098868187910165
remove_minutes_since_max_temp_so_far,38,1.3240069960246346,1.0979739877480408,1.3321864104395869,16.202,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",minutes_since_max_temp_so_far,6.346271007373616e-06
remove_hour_of_max_temp_so_far,38,1.3300995100718802,1.0980252440440295,1.3278622697407199,16.177,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",hour_of_max_temp_so_far,0.006098860318253019
remove_max_so_far_minus_forecast_high,38,1.5412491083259978,1.2127047347553,1.330151975261182,15.984,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",max_so_far_minus_forecast_high,0.21724845857237063
remove_mean_temp_error_so_far,38,1.3255045382119812,1.1015899492696832,1.3370406526606238,15.654,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",mean_temp_error_so_far,0.0015038884583540302
remove_max_temp_error_so_far,38,1.324001141471894,1.0979739877480408,1.3321864104395873,16.129,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",max_temp_error_so_far,4.917182667707465e-07
remove_num_new_highs_last_3h,38,1.323996139385091,1.0979739877480408,1.3321864104395869,16.238,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",num_new_highs_last_3h,-4.510368536214671e-06
remove_temp_range_so_far,38,1.3040817924585,1.107244483105468,1.3472142104373226,15.995,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",temp_range_so_far,-0.019918857295127212
remove_area_under_temp_curve_so_far,38,1.324001141471894,1.0979739877480408,1.3321864104395869,15.67,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",area_under_temp_curve_so_far,4.917182667707465e-07
remove_near_boundary_duration_so_far,38,1.323996139385091,1.0979739877480408,1.3321864104395873,17.748,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",near_boundary_duration_so_far,-4.510368536214671e-06
remove_minutes_until_typical_peak,38,1.324001141471894,1.0979739877480408,1.3321864104395869,18.442,success,,"{""test"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}, ""train"": {""infinite_values"": 0, ""missing_values"": 20, ""total_values_imputed_or_replaced"": 20}, ""validation"": {""infinite_values"": 0, ""missing_values"": 0, ""total_values_imputed_or_replaced"": 0}}",minutes_until_typical_peak,4.917182667707465e-07
