split,level,expected_coverage,actual_coverage,coverage_error,avg_interval_width,n
validation,0.5,0.5,0.5342668488160291,0.03426684881602915,1.4811444014359432,8784
validation,0.8,0.8,0.8300318761384335,0.0300318761384335,2.8142205658514987,8784
validation,0.9,0.9,0.9042577413479053,0.004257741347905242,3.6120129920914725,8784
test,0.5,0.5,0.431023102310231,-0.068976897689769,1.500334821740802,12120
test,0.8,0.8,0.7264851485148515,-0.07351485148514858,2.8506829630606494,12120
test,0.9,0.9,0.8371287128712871,-0.06287128712871293,3.658811972256839,12120
combined_out_of_sample,0.5,0.5,0.47440681209337926,-0.02559318790662074,1.492270879339449,20904
combined_out_of_sample,0.8,0.8,0.7699961729812476,-0.030003827018752482,2.835361220949801,20904
combined_out_of_sample,0.9,0.9,0.8653367776502104,-0.03466322234978958,3.6391467291563524,20904
