row_id,split,date,timestamp,prediction_time,prediction_timestamp,location,forecast_high,actual_high,forecast_horizon_hours,forecast_error,mu,sigma,nll,distribution_type,skew,sigma_scale
21,validation,2024-01-01,2024-01-01 22:00:00,2024-01-01 22:00:00,2024-01-01 22:00:00,NYC,45.04998901367192,47.0,-7.0,1.9500109863,-1.8154794877041363,3.4796941876355554,2.115720193544658,skew_normal,1.4698061306907864,1.0
22,validation,2024-01-01,2024-01-01 23:00:00,2024-01-01 23:00:00,2024-01-01 23:00:00,NYC,45.04998901367192,47.0,-8.0,1.9500109863,-1.8154794877041363,3.4796941876355554,2.115720193544658,skew_normal,1.4698061306907864,1.0
23,validation,2024-01-02,2024-01-02 01:00:00,2024-01-02 01:00:00,2024-01-02 01:00:00,NYC,43.069978027343794,42.0,14.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
24,validation,2024-01-02,2024-01-02 02:00:00,2024-01-02 02:00:00,2024-01-02 02:00:00,NYC,43.069978027343794,42.0,13.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
25,validation,2024-01-02,2024-01-02 03:00:00,2024-01-02 03:00:00,2024-01-02 03:00:00,NYC,43.069978027343794,42.0,12.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
26,validation,2024-01-02,2024-01-02 04:00:00,2024-01-02 04:00:00,2024-01-02 04:00:00,NYC,43.069978027343794,42.0,11.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
27,validation,2024-01-02,2024-01-02 05:00:00,2024-01-02 05:00:00,2024-01-02 05:00:00,NYC,43.069978027343794,42.0,10.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
28,validation,2024-01-02,2024-01-02 06:00:00,2024-01-02 06:00:00,2024-01-02 06:00:00,NYC,43.069978027343794,42.0,9.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
29,validation,2024-01-02,2024-01-02 07:00:00,2024-01-02 07:00:00,2024-01-02 07:00:00,NYC,43.069978027343794,42.0,8.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
30,validation,2024-01-02,2024-01-02 08:00:00,2024-01-02 08:00:00,2024-01-02 08:00:00,NYC,43.069978027343794,42.0,7.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
31,validation,2024-01-02,2024-01-02 09:00:00,2024-01-02 09:00:00,2024-01-02 09:00:00,NYC,43.069978027343794,42.0,6.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
32,validation,2024-01-02,2024-01-02 10:00:00,2024-01-02 10:00:00,2024-01-02 10:00:00,NYC,43.069978027343794,42.0,5.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
33,validation,2024-01-02,2024-01-02 11:00:00,2024-01-02 11:00:00,2024-01-02 11:00:00,NYC,43.069978027343794,42.0,4.0,-1.0699780273,-1.9548436110856813,3.5380227593516897,1.958515580167493,skew_normal,1.4911455777769635,1.0
34,validation,2024-01-02,2024-01-02 12:00:00,2024-01-02 12:00:00,2024-01-02 12:00:00,NYC,43.069978027343794,42.0,3.0,-1.0699780273,-1.9611201168023518,3.5380227593516897,1.957437110219736,skew_normal,1.4911479451041267,1.0
