model_name,distribution,sigma_adjustment,val_nll,test_nll,bucket_interval_log_loss,test_bucket_interval_log_loss,day9_interval_log_loss,test_day9_interval_log_loss,market_mean_bucket_brier,test_market_mean_bucket_brier,day9_mean_bucket_brier,coverage_50,coverage_80,coverage_90,test_coverage_50,test_coverage_80,test_coverage_90,avg_width_80,avg_width_90,residual_mean,residual_std,pit_mean,pit_shape_note,tail_issue_note,cdf_stable,selected,selection_score
ngboost_normal_v1,normal,1.0,1.3240006497536272,1.6854943450897675,0.9073088927403454,1.054841638291964,0.8733650804667874,0.9550334493897507,0.07907769277259652,0.0888399570230211,0.0938196350378092,0.5342668488160291,0.8300318761384335,0.9042577413479053,0.431023102310231,0.7264851485148515,0.8371287128712871,2.8142205658514987,3.6120129920914725,0.052263968463634965,1.052924950765255,0.5102759744240628,hump-shaped / too wide,wide on validation,True,False,17.0
ngboost_normal_sigma_x105,normal,1.05,1.3211337768097438,1.652937618999101,0.9033964731931197,1.0387878434835507,0.8707060241788567,0.9442498516684759,0.07920074721024789,0.08828271242496326,0.09387935589572136,0.5544171220400729,0.845856102003643,0.9162112932604736,0.4476072607260726,0.7504125412541254,0.8572607260726073,2.9549315941440737,3.7926136416960463,0.04977520806060469,1.002785667395481,0.5101475789301576,hump-shaped / too wide,wide on validation,True,False,15.0
ngboost_normal_sigma_x110,normal,1.1,1.3228795010543413,1.6289493443460632,0.9021557918968913,1.0265169944421917,0.8704065505290294,0.9365744819343175,0.07941196606559425,0.08784810776770059,0.09406200818440238,0.5776411657559198,0.8612249544626593,0.9233834244080146,0.465016501650165,0.7694719471947195,0.8741749174917491,3.0956426224366487,3.9732142913006196,0.047512698603304475,0.9572045006956863,0.5100117001363883,hump-shaped / too wide,wide on validation,True,False,15.0
ngboost_normal_sigma_x115,normal,1.15,1.3282691537803422,1.6118880713181816,0.9031157199244415,1.017412407841481,0.8720446144851766,0.9314779449661584,0.07969890923939142,0.08752221841011626,0.09435048291175521,0.601775956284153,0.8734061930783242,0.9330601092896175,0.4827557755775578,0.7911716171617161,0.8867161716171618,3.236353650729223,4.153814940905193,0.04544692909881299,0.9155869137089174,0.5098705184901746,hump-shaped / too wide,wide on validation,True,False,20.0
ngboost_normal_sigma_x120,normal,1.2,1.3365469443276001,1.600462402797179,0.9058959267653488,1.010960078131864,0.8752799177717319,0.9285323462733566,0.08005090763618046,0.08729274132568195,0.094729979115089,0.6246584699453552,0.8875227686703097,0.9379553734061931,0.5024752475247525,0.8107260726072607,0.8982673267326733,3.377064679021798,4.334415590509767,0.043553307053029115,0.8774374589710459,0.5097258072295453,hump-shaped / too wide,wide on validation; residuals compressed,True,False,24.0
ngboost_laplace_attempt,laplace,1.0,1.1424490526756899,1.4367239487783583,0.9028702943798323,1.0313088943037392,0.8660539297113248,0.9295959706949346,0.07853087564386123,0.0894015694618661,0.09209606743783431,0.5269808743169399,0.836976320582878,0.9208788706739527,0.4267326732673267,0.7530528052805281,0.8801155115511551,2.9021476852565553,4.152034661363512,0.14295876340022523,0.9033397959977737,0.5410573002912407,hump-shaped / too wide with high-PIT skew,wide on validation; directional residual shift,True,True,14.0
