split,mean,std,median,p05,p25,p75,p95,n
validation,0.05359841811861162,1.0180088710377293,-0.005440753522010305,-1.4283126099817445,-0.5625304663662474,0.6472718359976762,1.704093956996414,8784
test,-0.20866401377370467,1.235011969769244,-0.264733083497837,-2.011048300075213,-0.9631143014992316,0.5091316922727485,1.6800079509030006,12120
combined_out_of_sample,-0.09845959348370723,1.1560748830603724,-0.14403152746248277,-1.7794911995019613,-0.790879527708414,0.5677916456192809,1.692822885969997,20904
