run_name,removed_group,bucket,brier_score,mean_predicted_probability,empirical_frequency,calibration_gap,count
full_feature_set,,market_bucket_0,0.048754269336289124,0.07789785838366299,0.08196721311475409,-0.004069354731091102,8784
full_feature_set,,market_bucket_1,0.13593123671637913,0.2846397234558572,0.26229508196721313,0.022344641488644068,8784
full_feature_set,,market_bucket_2,0.16016775910508288,0.41368674818227763,0.41530054644808745,-0.0016137982658098182,8784
full_feature_set,,market_bucket_3,0.08995845551853217,0.17843810202018404,0.17759562841530055,0.0008424736048834869,8784
full_feature_set,,market_bucket_4,0.03153971623696417,0.03801461816150304,0.04644808743169399,-0.008433469270190952,8784
full_feature_set,,market_bucket_5,0.009789407978574765,0.007322949796515095,0.01639344262295082,-0.009070492826435725,8784
remove_time_season,time_season,market_bucket_0,0.04777279538578709,0.0810028217013101,0.08196721311475409,-0.0009643914134439963,8784
remove_time_season,time_season,market_bucket_1,0.13297317641984038,0.28184625878247443,0.26229508196721313,0.019551176815261306,8784
remove_time_season,time_season,market_bucket_2,0.1569014319234866,0.4097093102210108,0.41530054644808745,-0.005591236227076635,8784
remove_time_season,time_season,market_bucket_3,0.08786135447180841,0.17986531412634577,0.17759562841530055,0.002269685711045216,8784
remove_time_season,time_season,market_bucket_4,0.031037509280085716,0.03981328027150246,0.04644808743169399,-0.006634807160191533,8784
remove_time_season,time_season,market_bucket_5,0.009691511646643404,0.0077630148973564655,0.01639344262295082,-0.008630427725594355,8784
remove_observed_temperature_path,observed_temperature_path,market_bucket_0,0.04988127258394055,0.07649195571210875,0.08196721311475409,-0.005475257402645345,8784
remove_observed_temperature_path,observed_temperature_path,market_bucket_1,0.13357784252300725,0.2884652762108665,0.26229508196721313,0.026170194243653355,8784
remove_observed_temperature_path,observed_temperature_path,market_bucket_2,0.15816077142000118,0.4152565474956636,0.41530054644808745,-4.3998952423851545e-05,8784
remove_observed_temperature_path,observed_temperature_path,market_bucket_3,0.09094133012071981,0.17531948413201326,0.17759562841530055,-0.0022761442832872902,8784
remove_observed_temperature_path,observed_temperature_path,market_bucket_4,0.031682826499717695,0.03757784397221639,0.04644808743169399,-0.008870243459477602,8784
remove_observed_temperature_path,observed_temperature_path,market_bucket_5,0.010128631016935686,0.006888892477131536,0.01639344262295082,-0.009504550145819284,8784
remove_forecast_relative,forecast_relative,market_bucket_0,0.07223570016419294,0.08449552226313121,0.08196721311475409,0.0025283091483771225,8784
remove_forecast_relative,forecast_relative,market_bucket_1,0.1960556498760413,0.29721008905069335,0.26229508196721313,0.03491500708348022,8784
remove_forecast_relative,forecast_relative,market_bucket_2,0.23727200766696263,0.39780991731723564,0.41530054644808745,-0.01749062913085181,8784
remove_forecast_relative,forecast_relative,market_bucket_3,0.14246523207058612,0.18198627553455032,0.17759562841530055,0.004390647119249774,8784
remove_forecast_relative,forecast_relative,market_bucket_4,0.043445971923821304,0.03471075587178982,0.04644808743169399,-0.011737331559904175,8784
remove_forecast_relative,forecast_relative,market_bucket_5,0.016220191830231757,0.00378743996259963,0.01639344262295082,-0.01260600266035119,8784
remove_humidity_dew_point,humidity_dew_point,market_bucket_0,0.04858836666278283,0.07818574878430488,0.08196721311475409,-0.003781464330449208,8784
remove_humidity_dew_point,humidity_dew_point,market_bucket_1,0.13561053165160794,0.28410939104856187,0.26229508196721313,0.021814309081348737,8784
remove_humidity_dew_point,humidity_dew_point,market_bucket_2,0.15997438001885705,0.4134990067594898,0.41530054644808745,-0.001801539688597642,8784
remove_humidity_dew_point,humidity_dew_point,market_bucket_3,0.0899312686382232,0.17875968192979744,0.17759562841530055,0.0011640535144968878,8784
remove_humidity_dew_point,humidity_dew_point,market_bucket_4,0.03177465940406228,0.038241938852405906,0.04644808743169399,-0.008206148579288086,8784
remove_humidity_dew_point,humidity_dew_point,market_bucket_5,0.009860095941111783,0.007204232625440074,0.01639344262295082,-0.009189209997510746,8784
remove_cloud_precipitation,cloud_precipitation,market_bucket_0,0.04874450122129279,0.07917205033146509,0.08196721311475409,-0.002795162783289007,8784
remove_cloud_precipitation,cloud_precipitation,market_bucket_1,0.13360792924924939,0.28176504983504846,0.26229508196721313,0.019469967867835336,8784
remove_cloud_precipitation,cloud_precipitation,market_bucket_2,0.15851285806543078,0.41399715404905396,0.41530054644808745,-0.0013033923990334872,8784
remove_cloud_precipitation,cloud_precipitation,market_bucket_3,0.08907389111889627,0.17983842802077418,0.17759562841530055,0.0022427996054736332,8784
