method,alpha,split,nll,bucket_brier,bucket_log_loss,coverage_50,coverage_80,coverage_90,coverage_95,coverage_gap_50,coverage_gap_80,coverage_gap_90,coverage_gap_95,mean_sigma,median_sigma
raw_ngboost,1.0,validation,1.1931149214619803,0.07916276739324467,0.9273961022323105,0.6454918032786885,0.9114298724954463,0.9673269581056466,0.9885018214936248,0.1454918032786885,0.11142987249544622,0.0673269581056466,0.0385018214936248,1.198642560845513,1.579122113313082
raw_ngboost,1.0,test,1.4010265924689023,0.0852704992920909,0.9921541807433862,0.5570957095709571,0.8733498349834984,0.9570957095709571,0.9831683168316832,0.05709570957095711,0.07334983498349834,0.05709570957095711,0.0331683168316832,1.222694571098348,1.560318740774417
global_sigma_scaled,0.7,validation,1.1275930787776638,0.07912956337799862,0.9189199706243987,0.5132058287795993,0.8152322404371585,0.9121129326047359,0.9543488160291439,0.013205828779599305,0.015232240437158429,0.012112932604735893,0.004348816029143943,0.839049792591859,1.1053854793191573
global_sigma_scaled,0.7,test,1.394727644523527,0.0883975110768107,1.0208909624577105,0.43184818481848186,0.744059405940594,0.8738448844884489,0.9397689768976898,-0.06815181518151814,-0.05594059405940599,-0.02615511551155114,-0.010231023102310166,0.8558861997688435,1.0922231185420919
