alpha,validation_nll,coverage_50,coverage_gap_50,coverage_80,coverage_gap_80,coverage_90,coverage_gap_90,coverage_95,coverage_gap_95,coverage_penalty,selection_score,bucket_brier,bucket_log_loss,distance_from_raw_alpha,selected
0.7,1.1275930787776638,0.5132058287795993,0.013205828779599305,0.8152322404371585,0.015232240437158429,0.9121129326047359,0.012112932604735893,0.9543488160291439,0.004348816029143943,0.04489981785063757,1.1388180332403233,0.07912956337799862,0.9189199706243987,0.30000000000000004,True
0.75,1.1318852610969674,0.5403005464480874,0.04030054644808745,0.8370901639344263,0.03709016393442621,0.9237249544626593,0.02372495446265932,0.9635701275045537,0.013570127504553775,0.11468579234972676,1.1605567091843991,0.07880182210406897,0.914951399597133,0.25,False
0.8,1.1398106792128466,0.5661429872495446,0.0661429872495446,0.8534836065573771,0.05348360655737705,0.9370446265938069,0.03704462659380692,0.9717668488160291,0.021766848816029194,0.17843806921675776,1.184420196517036,0.07863940763976626,0.9137871615591836,0.19999999999999996,False
0.85,1.150482563068965,0.5875455373406193,0.08754553734061932,0.8720400728597449,0.0720400728597449,0.9454690346083788,0.04546903460837881,0.9795081967213115,0.029508196721311553,0.23456284153005458,1.2091232734514787,0.0786149889361051,0.9148482809278297,0.15000000000000002,False
0.9,1.1632385431664098,0.6035974499089253,0.10359744990892528,0.8858151183970856,0.08581511839708555,0.9524134790528234,0.05241347905282334,0.9828096539162113,0.03280965391621138,0.27463570127504555,1.2318974684851711,0.07870600284246008,0.9176893299398382,0.09999999999999998,False
0.95,1.17757727108813,0.6214708561020036,0.12147085610200359,0.9014116575591985,0.10141165755919845,0.9591302367941712,0.059130236794171176,0.9862249544626593,0.03622495446265939,0.3182377049180326,1.257136697317638,0.07889376815245386,0.9219631561649817,0.050000000000000044,False
1.0,1.1931149214619803,0.6454918032786885,0.1454918032786885,0.9114298724954463,0.11142987249544622,0.9673269581056466,0.0673269581056466,0.9885018214936248,0.0385018214936248,0.3627504553734061,1.2838025353053317,0.07916276739324467,0.9273961022323105,0.0,False
1.05,1.2095547410475884,0.6615437158469946,0.16154371584699456,0.91974043715847,0.11974043715846994,0.9730191256830601,0.07301912568306013,0.9912340619307832,0.04123406193078327,0.3955373406193079,1.3084390762024154,0.0795000668881694,0.9337702653851528,0.050000000000000044,False
1.1,1.2266653525153686,0.6821493624772313,0.18214936247723135,0.9288479052823315,0.12884790528233148,0.9790528233151184,0.07905282331511843,0.9926001821493625,0.042600182149362564,0.4326502732240438,1.3348279208213796,0.07989484894626252,0.9409105823012526,0.10000000000000009,False
1.15,1.244265050411882,0.6977459016393442,0.19774590163934425,0.9372723132969034,0.13727231329690337,0.9820127504553734,0.08201275045537337,0.9935109289617486,0.043510928961748685,0.4605418943533697,1.3594005240002245,0.0803380342150709,0.9486752846354105,0.1499999999999999,False
1.2,1.262210272212551,0.712431693989071,0.21243169398907102,0.9430783242258652,0.1430783242258652,0.9847449908925319,0.08474499089253185,0.99408014571949,0.04408014571949004,0.4843351548269581,1.3832940609192905,0.08082197625742307,0.9569487496024237,0.19999999999999996,False
1.25,1.2803870255241294,0.7248406193078324,0.2248406193078324,0.9484289617486339,0.14842896174863385,0.9872495446265938,0.08724954462659373,0.994535519125683,0.0445355191256831,0.5050546448087431,1.406650686726315,0.08134021391761069,0.9656360786552386,0.25,False
1.3,1.2987044391001705,0.7402094717668488,0.24020947176684881,0.9541211293260473,0.15412112932604727,0.9885018214936248,0.08850182149362473,0.9946493624772313,0.04464936247723139,0.5274817850637522,1.4305748853661087,0.08188726995334407,0.9746589405206137,0.30000000000000004,False
1.4,1.3354850905802496,0.7619535519125683,0.2619535519125683,0.963683970856102,0.16368397085610198,0.9918032786885246,0.09180327868852456,0.995332422586521,0.04533242258652104,0.5627732240437159,1.4761783965911786,0.083049891959467,0.9934621558498973,0.3999999999999999,False
1.5,1.3721276174833767,0.7854052823315119,0.28540528233151186,0.9730191256830601,0.1730191256830601,0.9935109289617486,0.09351092896174862,0.995787795992714,0.0457877959927141,0.5977231329690347,1.5215584007256355,0.08428016076014712,1.012956970683533,0.5,False
1.75,1.4615776081429872,0.8377732240437158,0.3377732240437158,0.9857695810564663,0.18576958105646624,0.9947632058287796,0.09476320582877962,0.9973816029143898,0.047381602914389864,0.6656876138433515,1.627999511603825,0.08752207410315237,1.0630587568005605,0.75,False
2.0,1.546583483891774,0.8752276867030966,0.3752276867030966,0.9916894353369763,0.19168943533697624,0.9959016393442623,0.09590163934426232,0.9989754098360656,0.04897540983606563,0.7117941712204008,1.7245320266968742,0.0908499535507264,1.1132949482507555,1.0,False
