run_id,timestamp,status,error_message,seed,distribution,features_version,target_column,date_column,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,candidate_name,n_estimators,learning_rate,max_depth,min_samples_leaf,minibatch_frac,natural_gradient,train_nll,val_nll,val_mae,val_rmse,val_bias,val_50_coverage,val_80_coverage,val_90_coverage,val_50_coverage_error,val_80_coverage_error,val_90_coverage_error,val_bucket_brier,val_interval_log_loss,val_calibration_error,val_pit_mean,val_pit_std,val_pit_min,val_pit_max,bucket_prob_min,bucket_prob_max,bucket_prob_sum_mean,bucket_prob_sum_max_abs_error,bucket_prob_normalization_rate,notes
ngb16_20260607T153200Z_01_official_migration_reference_10,2026-06-07T15:32:00.590610+00:00,success,,42,normal,official_migration_current36,forecast_error,date,16791,8396,11610,2022-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2026-05-20,official_migration_reference_10,10,0.05,2,50,1.0,True,1.7046814203619325,1.8159817095364623,1.1826250956609579,1.546945330997496,0.02539458758672283,0.5444259171033826,0.8337303477846594,0.9137684611719866,0.04442591710338262,0.03373034778465933,0.013768461171986601,0.6246770988383124,1.1808617102304915,0.021167727873345015,0.48773192954612526,0.2768689507323642,0.002840844687056192,0.9999899846971415,0.00010867461666785871,0.5139621457882306,1.0,1.1102230246251565e-16,0.0,
ngb16_20260607T153200Z_02_official_migration_leaf20_15,2026-06-07T15:32:13.883010+00:00,success,,42,normal,official_migration_current36,forecast_error,date,16791,8396,11610,2022-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2026-05-20,official_migration_leaf20_15,15,0.04,2,20,1.0,True,1.684068554989686,1.7961142953853206,1.157622370547922,1.5179857259138776,0.022106128443857592,0.5510957598856598,0.8406383992377322,0.9155550262029538,0.05109575988565984,0.04063839923773216,0.015555026202953792,0.6176974315629916,1.1638695133987857,0.021694748467092132,0.48748537237414624,0.2750847795753739,0.0026476332032268415,0.9999893966494724,5.987831284071099e-05,0.526513703362331,1.0,1.1102230246251565e-16,0.0,
ngb16_20260607T153200Z_03_official_migration_depth3_subsample_15,2026-06-07T15:32:25.899533+00:00,success,,42,normal,official_migration_current36,forecast_error,date,16791,8396,11610,2022-01-01,2023-12-31,2024-01-01,2024-12-31,2025-01-01,2026-05-20,official_migration_depth3_subsample_15,15,0.04,3,50,0.8,True,1.649875855104674,1.7558630370002017,1.1052127110887218,1.4451784339240576,0.02403751586876418,0.5680085755121487,0.8536207717960934,0.9248451643639829,0.06800857551214867,0.05362077179609337,0.024845164363982875,0.605186812303325,1.1274196381945782,0.023350519825276785,0.4888753454916079,0.2689420493607027,0.0030461103274958623,0.9999916707708877,4.761423021315547e-05,0.5390164834834661,1.0,1.1102230246251565e-16,0.0,
