split,nominal_coverage,empirical_coverage,coverage_gap,n_rows
validation,0.5,0.6454918032786885,0.1454918032786885,8784
validation,0.8,0.9114298724954463,0.11142987249544622,8784
validation,0.9,0.9673269581056466,0.0673269581056466,8784
validation,0.95,0.9885018214936248,0.0385018214936248,8784
test,0.5,0.5570957095709571,0.05709570957095711,12120
test,0.8,0.8733498349834984,0.07334983498349834,12120
test,0.9,0.9570957095709571,0.05709570957095711,12120
test,0.95,0.9831683168316832,0.0331683168316832,12120
