model,split,bucket_schema,n_rows,nll,interval_log_loss,mean_bucket_brier,coverage_error_50,coverage_error_80,coverage_error_90,residual_mean,residual_std
ngboost_normal_v0,validation,day9_forecast_error_intervals,8784,1.2863447155885703,0.8710564350171622,0.09383258473589366,0.05077413479052828,0.041530054644808745,0.011202185792349661,0.05359841811861162,1.0180088710377293
ngboost_normal_v0,test,day9_forecast_error_intervals,12120,1.5961383148239956,0.9214808957466231,0.09806746494964555,-0.054125412541254136,-0.04810231023102318,-0.037953795379538025,-0.20866401377370467,1.235011969769244
empirical_baseline_day9,test,day9_forecast_error_intervals,12120,,1.4889052210402325,0.15424864478942626,,,,,
