contract_multiplier,eligible,cagr,sharpe,sortino,calmar,max_drawdown_fraction,net_pnl,profit_factor,executed_signals,rejected_for_cash,max_concurrent_cash_committed,fold_pnl
38,True,0.7898399926587336,6.290339260294288,16.231743438268147,36.737678442977284,-0.025132035302994016,835.3600000000001,2.960846908595839,172,0,170.11,"{'trading_outer_00': 485.01, 'trading_outer_01': 239.76999999999998, 'trading_outer_02': 110.58}"
39,True,0.810504747917421,6.291753848804331,16.239989111765883,37.15492815377638,-0.025507518035764898,857.4699999999999,2.962173913043478,172,0,174.55,"{'trading_outer_00': 497.81, 'trading_outer_01': 246.12999999999997, 'trading_outer_02': 113.52999999999999}"
40,True,0.8311313138070999,6.291688987480153,16.240416998707968,37.563463675248435,-0.02587978092038623,879.55,2.9622300553275034,172,0,179.02,"{'trading_outer_00': 510.69000000000005, 'trading_outer_01': 252.45, 'trading_outer_02': 116.41}"
41,True,0.8514864808599751,6.290948853866755,16.235230763265395,37.961826446970946,-0.026242914016796792,901.3500000000001,2.9614606228102622,172,0,183.53,"{'trading_outer_00': 523.28, 'trading_outer_01': 258.75, 'trading_outer_02': 119.32000000000002}"
42,True,0.8721585677936445,6.291814579718634,16.23956113983125,38.37329722927494,-0.026599500173706492,923.5,2.9623884402889926,172,0,187.99,"{'trading_outer_00': 536.15, 'trading_outer_01': 265.09, 'trading_outer_02': 122.26}"
43,True,0.8927462025231023,6.292519655255098,16.244559254867017,38.78734879366572,-0.026944447525147686,945.5699999999998,2.9628630145517203,172,0,192.45000000000002,"{'trading_outer_00': 548.9499999999999, 'trading_outer_01': 271.43, 'trading_outer_02': 125.19}"
44,True,0.9131284224902065,6.291549539735215,16.237518097935595,39.15107676721942,-0.027311247228259727,967.4300000000001,2.961934698844048,172,0,196.93,"{'trading_outer_00': 561.7, 'trading_outer_01': 277.64, 'trading_outer_02': 128.09}"
45,True,0.9335665011322904,6.291122340580062,16.236979994729346,39.55825044190651,-0.027642859471265213,989.36,2.961575827269662,172,0,201.39000000000001,"{'trading_outer_00': 574.42, 'trading_outer_01': 284.0, 'trading_outer_02': 130.94}"
46,True,0.9540977101493935,6.291742245908914,16.241282665537195,39.970487052631626,-0.02796721382010625,1011.4000000000001,2.962016721953869,172,0,205.87,"{'trading_outer_00': 587.2099999999999, 'trading_outer_01': 290.31, 'trading_outer_02': 133.87999999999997}"
47,True,0.9746940895123988,6.292136994786505,16.241493538424773,40.37887603910979,-0.028289830995814724,1033.52,2.962628180782378,172,0,210.35,"{'trading_outer_00': 600.01, 'trading_outer_01': 296.65999999999997, 'trading_outer_02': 136.85000000000005}"
