cycle_started_at,cycle_completed_at,mode,paper_enabled,event_ticker,target_date,dashboard_status,settlement_status,settlement_trading_allowed,probability_mode,probability_rows,edge_rows,candidate_edges,risk_rows,risk_approved,ready_intents,paper_new_orders,paper_filled,paper_rejected,status,warnings,portfolio_snapshot_path,risk_decisions_path,order_intents_path,paper_orders_path,paper_positions_path,paper_pnl_path
2026-06-04T23:22:16.640111+00:00,2026-06-04T23:22:20.920719+00:00,shadow,False,KXHIGHNY-26JUN04,2026-06-04,WARN,,,,6,12,0,12,0,0,0,0,0,OK,missing_forecast_issue_time;unverified_observed_high_window,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\portfolio_snapshot.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\risk_decisions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\order_intents.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_orders.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_positions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_pnl.csv
2026-06-04T23:26:07.100177+00:00,2026-06-04T23:26:11.587803+00:00,shadow,True,KXHIGHNY-26JUN04,2026-06-04,WARN,,,,6,12,0,12,0,0,0,0,0,OK,missing_forecast_issue_time;unverified_observed_high_window,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\portfolio_snapshot.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\risk_decisions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\order_intents.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_orders.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_positions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_pnl.csv
2026-06-04T23:29:25.041087+00:00,2026-06-04T23:29:29.482153+00:00,shadow,True,KXHIGHNY-26JUN04,2026-06-04,WARN,,,,6,12,0,12,0,0,0,0,0,OK,missing_forecast_issue_time;unverified_observed_high_window,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\portfolio_snapshot.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\risk_decisions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\order_intents.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_orders.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_positions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_pnl.csv
2026-09-01T22:16:09.256344+00:00,2026-09-01T22:16:13.812492+00:00,shadow,False,KXHIGHNY-26SEP01,2026-09-01,WARN,POST_PEAK_NO_TRADE,False,diagnostic_no_trade,6,12,0,12,0,0,0,0,0,OK,settlement_state:POST_PEAK_NO_TRADE:unverified_observed_high_window;unverified_observed_high_window,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\portfolio_snapshot.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\risk_decisions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\order_intents.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_orders.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_positions.csv,C:\Weather Trading\Kalshi-Weather-Trading\outputs\live_trading\paper_pnl.csv
