selection_for_fold,candidate_id,eligible,prior_cagr,prior_max_drawdown_fraction,prior_net_pnl,prior_n_trades,prior_fold_pnl,complexity
trading_outer_01,edge_0.02_after_12_buy_yes_2,False,0.004244878819773978,-0.000699370566490054,2.019999999999999,15,[2.019999999999999],4
trading_outer_01,edge_0.02_after_12_buy_yes_unlimited,False,0.004244878819773978,-0.000699370566490054,2.019999999999999,15,[2.019999999999999],3
trading_outer_01,edge_0.02_after_12_buy_no_1,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.02_after_12_buy_no_2,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.02_after_12_buy_no_unlimited,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.03_all_both_1,True,0.023080965087789007,-0.0006599999999999939,10.929999999999998,31,[10.929999999999998],2
trading_outer_01,edge_0.03_all_both_2,True,0.0234421337266586,-0.0006599999999999939,11.1,52,[11.1],2
trading_outer_01,edge_0.03_all_both_unlimited,True,0.02201909123753465,-0.0006599999999999939,10.43,63,[10.43],1
trading_outer_01,edge_0.03_all_buy_yes_1,True,0.023080965087789007,-0.0006599999999999939,10.929999999999998,31,[10.929999999999998],3
trading_outer_01,edge_0.03_all_buy_yes_2,True,0.0234421337266586,-0.0006599999999999939,11.1,52,[11.1],3
trading_outer_01,edge_0.03_all_buy_yes_unlimited,True,0.02201909123753465,-0.0006599999999999939,10.43,63,[10.43],2
trading_outer_01,edge_0.03_all_buy_no_1,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.03_all_buy_no_2,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.03_all_buy_no_unlimited,False,0.0,0.0,0.0,0,[0.0],2
trading_outer_01,edge_0.03_before_12_both_1,True,0.019006517688045177,-0.0006599999999999939,9.01,24,[9.01],3
trading_outer_01,edge_0.03_before_12_both_2,True,0.018476617075620316,-0.0006599999999999939,8.76,42,[8.76],3
trading_outer_01,edge_0.03_before_12_both_unlimited,True,0.01733252427895038,-0.0006599999999999939,8.22,51,[8.22],2
trading_outer_01,edge_0.03_before_12_buy_yes_1,True,0.019006517688045177,-0.0006599999999999939,9.01,24,[9.01],4
trading_outer_01,edge_0.03_before_12_buy_yes_2,True,0.018476617075620316,-0.0006599999999999939,8.76,42,[8.76],4
trading_outer_01,edge_0.03_before_12_buy_yes_unlimited,True,0.01733252427895038,-0.0006599999999999939,8.22,51,[8.22],3
trading_outer_01,edge_0.03_before_12_buy_no_1,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.03_before_12_buy_no_2,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.03_before_12_buy_no_unlimited,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.03_12_to_16_both_1,False,0.0042028041683999096,-0.0001898746827093678,1.9999999999999993,9,[1.9999999999999993],3
trading_outer_01,edge_0.03_12_to_16_both_2,False,0.003950375643603454,-0.00021987467143735895,1.8799999999999994,11,[1.8799999999999994],3
trading_outer_01,edge_0.03_12_to_16_both_unlimited,False,0.003950375643603454,-0.00021987467143735895,1.8799999999999994,11,[1.8799999999999994],2
trading_outer_01,edge_0.03_12_to_16_buy_yes_1,False,0.0042028041683999096,-0.0001898746827093678,1.9999999999999993,9,[1.9999999999999993],4
trading_outer_01,edge_0.03_12_to_16_buy_yes_2,False,0.003950375643603454,-0.00021987467143735895,1.8799999999999994,11,[1.8799999999999994],4
trading_outer_01,edge_0.03_12_to_16_buy_yes_unlimited,False,0.003950375643603454,-0.00021987467143735895,1.8799999999999994,11,[1.8799999999999994],3
trading_outer_01,edge_0.03_12_to_16_buy_no_1,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.03_12_to_16_buy_no_2,False,0.0,0.0,0.0,0,[0.0],4
trading_outer_01,edge_0.03_12_to_16_buy_no_unlimited,False,0.0,0.0,0.0,0,[0.0],3
trading_outer_01,edge_0.03_after_16_both_1,False,0.0006928269163000156,0.0,0.3299999999999999,1,[0.3299999999999999],3
trading_outer_01,edge_0.03_after_16_both_2,False,0.0006928269163000156,0.0,0.3299999999999999,1,[0.3299999999999999],3
trading_outer_01,edge_0.03_after_16_both_unlimited,False,0.0006928269163000156,0.0,0.3299999999999999,1,[0.3299999999999999],2
trading_outer_01,edge_0.03_after_16_buy_yes_1,False,0.0006928269163000156,0.0,0.3299999999999999,1,[0.3299999999999999],4
trading_outer_01,edge_0.03_after_16_buy_yes_2,False,0.0006928269163000156,0.0,0.3299999999999999,1,[0.3299999999999999],4
trading_outer_01,edge_0.03_after_16_buy_yes_unlimited,False,0.0006928269163000156,0.0,0.3299999999999999,1,[0.3299999999999999],3
trading_outer_01,edge_0.03_after_16_buy_no_1,False,0.0,0.0,0.0,0,[0.0],4
