ticker,event_ticker,created_time,open_time,close_time,title,last_price_cents_at_archive_snapshot,lifetime_volume,result
HIGHNY0-21JUL17-T90,HIGHNY0-21JUL1,2021-07-16T13:43:19.066953Z,2021-07-16T14:00:00Z,2021-07-18T00:00:00Z,Will the high temperature in New York City be over 90° on Saturday?,99,4691,yes
HIGHNY0-21JUL18-T83,HIGHNY0-21JUL18,2021-07-17T06:29:17.363488Z,2021-07-17T14:00:00Z,2021-07-19T00:00:00Z,Will the high temperature in New York City be over 83° on Sunday?,99,4055,yes
HIGHNY0-21JUL19-T82,HIGHNY0-21JUL19,2021-07-18T13:20:31.967517Z,2021-07-18T14:00:00Z,2021-07-20T00:00:00Z,Will the high temperature in New York City be over 82° on Monday?,2,9184,no
HIGHNY0-21JUL20-T89,HIGHNY0-21JUL20,2021-07-19T13:31:47.120257Z,2021-07-19T14:00:00Z,2021-07-21T00:00:00Z,Will the high temperature in New York City be over 89° on Tuesday?,1,5338,no
HIGHNY0-21JUL21-T88,HIGHNY0-21JUL21,2021-07-20T13:04:51.903152Z,2021-07-20T14:00:00Z,2021-07-22T00:00:00Z,Will the high in New York City be over 88° on Wednesday?,1,1648,no
HIGHNY0-21JUL22-T85,HIGHNY0-21JUL22,2021-07-21T03:47:26.852172Z,2021-07-21T14:00:00Z,2021-07-23T00:00:00Z,Will the high in New York City be over 85° on Thursday?,1,2670,no
HIGHNY0-21JUL22-T82,HIGHNY0-21JUL22,2021-07-21T18:50:42.938510Z,2021-07-21T19:00:00Z,2021-07-23T00:00:00Z,Will the high in New York City be over 82° on Thursday?,1,5782,no
HIGHNY0-21JUL23-T84,HIGHNY0-21JUL23,2021-07-22T13:32:28.757515Z,2021-07-22T14:00:00Z,2021-07-24T00:00:00Z,Will the high in New York City be over 84° on Friday?,1,1380,no
HIGHNY0-21JUL24-T81,HIGHNY0-21JUL24,2021-07-23T13:31:46.518183Z,2021-07-23T14:00:00Z,2021-07-25T00:00:00Z,Will the high in New York City be over 81° on Saturday?,99,2916,yes
