split,level,expected_coverage,actual_coverage,coverage_error,avg_interval_width,n
validation,0.5,0.5,0.5680085755121487,0.06800857551214867,2.021726134323582,8396
validation,0.8,0.8,0.8536207717960934,0.05362077179609337,3.8413427213558147,8396
validation,0.9,0.9,0.9248451643639829,0.024845164363982875,4.930310006605706,8396
test,0.5,0.5,0.6165374677002584,0.11653746770025841,2.0084966471292898,11610
test,0.8,0.8,0.883634797588286,0.08363479758828596,3.816206283003313,11610
test,0.9,0.9,0.9415159345391904,0.041515934539190336,4.898047737256299,11610
combined_out_of_sample,0.5,0.5,0.5961711486554033,0.09617114865540333,2.014048720231523,20006
combined_out_of_sample,0.8,0.8,0.871038688393482,0.07103868839348193,3.826755395090067,20006
combined_out_of_sample,0.9,0.9,0.934519644106768,0.034519644106768,4.911587376037545,20006
