split,model,bucket_schema,bucket,bin_lower,bin_upper,count,mean_predicted_probability,empirical_frequency,calibration_gap
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.2,0.30000000000000004,255,0.2546721359517078,0.00392156862745098,0.2507505673242568
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.30000000000000004,0.4,1285,0.36417371117393127,0.24669260700389106,0.11748110417004021
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.4,0.5,7753,0.46209400914284304,0.5440474654972269,-0.08195345635438389
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.5,0.6000000000000001,2304,0.5228047617969553,0.7947048611111112,-0.2719000993141558
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.6000000000000001,0.7000000000000001,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.7000000000000001,0.8,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.8,0.9,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.9,1.0,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.0,0.1,11584,0.002470987925379061,0.00949585635359116,-0.0070248684282120995
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.1,0.2,26,0.10851004489571131,0.19230769230769232,-0.08379764741198101
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.2,0.30000000000000004,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.30000000000000004,0.4,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.4,0.5,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.5,0.6000000000000001,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.6000000000000001,0.7000000000000001,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.7000000000000001,0.8,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.8,0.9,0,,,
test,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_5,0.9,1.0,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.0,0.1,19642,0.012107309318419931,0.013491497810813562,-0.0013841884923936308
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.1,0.2,259,0.12748751932995633,0.33976833976833976,-0.21228082043838342
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.2,0.30000000000000004,23,0.2447737342257808,0.9130434782608695,-0.6682697440350887
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.30000000000000004,0.4,79,0.34951889512805906,0.46835443037974683,-0.11883553525168777
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.4,0.5,3,0.41863120992025243,1.0,-0.5813687900797475
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.5,0.6000000000000001,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.6000000000000001,0.7000000000000001,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.7000000000000001,0.8,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.8,0.9,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_0,0.9,1.0,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.0,0.1,0,,,
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.1,0.2,18,0.19756650558000954,0.0,0.19756650558000954
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.2,0.30000000000000004,640,0.25232578508392567,0.009375,0.24295078508392567
combined_out_of_sample,ngboost_normal_v0,kalshi_around_forecast_bucket_index,market_bucket_2,0.30000000000000004,0.4,2254,0.36309774089971686,0.17613132209405502,0.18696641880566184
