comparison,n_rows,mean_abs_difference_f,median_abs_difference_f,max_abs_difference_f,pct_abs_diff_ge_1f,pct_abs_diff_ge_2f,pct_abs_diff_ge_3f,largest_examples
old_actual_high_vs_official,1601,1.9881948782011243,1.6000000000000014,16.700000000000003,68.14490943160524,41.723922548407245,23.672704559650217,2026-02-28: -16.7F; 2026-02-27: -9.8F; 2026-02-26: -9.2F; 2025-03-30: +9.0F; 2024-12-28: -8.5F
openmeteo_daily_max_vs_official,1601,1.9881948782011243,1.6000000000000014,16.700000000000003,68.14490943160524,41.723922548407245,23.672704559650217,2026-02-28: -16.7F; 2026-02-27: -9.8F; 2026-02-26: -9.2F; 2025-03-30: +9.0F; 2024-12-28: -8.5F
max_hourly_tmpf_vs_official,1604,0.6583541147132169,1.0,8.0,54.3640897755611,8.478802992518704,1.2468827930174564,2024-12-29: +8.0F; 2024-08-19: -4.0F; 2024-04-27: -3.0F; 2024-08-03: -3.0F; 2024-07-04: -3.0F
