split,bucket_schema,bucket,brier_score,mean_predicted_probability,empirical_frequency,calibration_gap,count,interval_log_loss,mean_bucket_brier
validation,kalshi_around_forecast_bucket_index,market_bucket_0,0.007742575999337614,0.014710125153272312,0.008218199142448784,0.006491926010823528,8396,1.127419638194578,0.10086446871722082
validation,kalshi_around_forecast_bucket_index,market_bucket_1,0.12572028072748145,0.1516044806642493,0.17806098141972368,-0.02645650075547437,8396,1.127419638194578,0.10086446871722082
validation,kalshi_around_forecast_bucket_index,market_bucket_2,0.2230206600124866,0.4514859895830181,0.4341353025250119,0.017350687058006187,8396,1.127419638194578,0.10086446871722082
validation,kalshi_around_forecast_bucket_index,market_bucket_3,0.178673525757628,0.320656106068405,0.3001429252024774,0.020513180865927627,8396,1.127419638194578,0.10086446871722082
validation,kalshi_around_forecast_bucket_index,market_bucket_4,0.04767221284431376,0.05722251843665676,0.0547879942829919,0.002434524153664859,8396,1.127419638194578,0.10086446871722082
validation,kalshi_around_forecast_bucket_index,market_bucket_5,0.02235755696207752,0.004320780094398526,0.024654597427346357,-0.02033381733294783,8396,1.127419638194578,0.10086446871722082
test,kalshi_around_forecast_bucket_index,market_bucket_0,0.02466553723389851,0.015660853452546,0.029715762273901807,-0.014054908821355808,11610,1.073660543437068,0.09594277674557612
test,kalshi_around_forecast_bucket_index,market_bucket_1,0.11862387073210745,0.15329187636354724,0.15848406546080965,-0.005192189097262406,11610,1.073660543437068,0.09594277674557612
test,kalshi_around_forecast_bucket_index,market_bucket_2,0.23811788024786382,0.4584515325585687,0.5484065460809647,-0.08995501352239604,11610,1.073660543437068,0.09594277674557612
test,kalshi_around_forecast_bucket_index,market_bucket_3,0.15986341790035363,0.3183526966200622,0.22575366063738156,0.09259903598268066,11610,1.073660543437068,0.09594277674557612
test,kalshi_around_forecast_bucket_index,market_bucket_4,0.024982645367556146,0.05153458404619932,0.02773471145564169,0.023799872590557627,11610,1.073660543437068,0.09594277674557612
test,kalshi_around_forecast_bucket_index,market_bucket_5,0.009403308991677187,0.0027084569590766186,0.009905254091300603,-0.007196797132223985,11610,1.073660543437068,0.09594277674557612
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_0,0.01756340874617616,0.015261857411323274,0.020693791862441267,-0.005431934451117993,20006,1.096221843026394,0.09800828338328126
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_1,0.1216020501943268,0.1525837200958623,0.1666999900029991,-0.014116269907136797,20006,1.096221843026394,0.09800828338328126
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_2,0.2317819679667368,0.45552827459482165,0.5004498650404878,-0.04492159044566618,20006,1.096221843026394,0.09800828338328126
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_3,0.1677575329443242,0.31931937790209186,0.25697290812756174,0.06234646977453012,20006,1.096221843026394,0.09800828338328126
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_4,0.034504869127171114,0.053921662779693305,0.03908827351794462,0.014833389261748688,20006,1.096221843026394,0.09800828338328126
combined_out_of_sample,kalshi_around_forecast_bucket_index,market_bucket_5,0.014839871320952465,0.003385107216207616,0.01609517144856543,-0.012710064232357814,20006,1.096221843026394,0.09800828338328126
