split,mean,std,median,p05,p25,p75,p95,n
validation,0.004914717496936084,0.9360617313560119,-0.07863781206329278,-1.3491968312439921,-0.6308623748835487,0.5827669199778303,1.6762902270072648,8396
test,-0.21411611426611607,0.8401452932895346,-0.2260850808268272,-1.5068756942060315,-0.7290642649969108,0.29897113514983636,1.0785975332059647,11610
combined_out_of_sample,-0.12219454756199805,0.8882496053578524,-0.17851649190112343,-1.435026415013576,-0.6839827688498914,0.39344757442058903,1.3509706192980049,20006
