fetched_at,ticker,outcome_side,quote_type,price_dollars,size_contracts,level,cumulative_size,source_book_side,event_ticker,close_time,market_status,eligible
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.99,1049.0,1,1049.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.98,366.0,2,1415.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.97,655.0,3,2070.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.96,171.0,4,2241.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.95,63.0,5,2304.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.94,101.0,6,2405.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.93,87.0,7,2492.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.92,50.0,8,2542.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.91,63.0,9,2605.0,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
2026-09-01T01:10:19.648033+00:00,KXHIGHNY-26SEP01-T90,NO,bid,0.88,35.01,10,2640.01,no_dollars,KXHIGHNY-26SEP01,2026-09-02T05:00:00Z,active,True
