cycle_id,fetched_at,status,n_markets_matched,n_markets_scraped,n_level_rows,n_summary_rows,n_violations,n_failures,n_warnings,violation_summary,levels_path,summary_path,raw_path
20260823T222827Z,2026-08-23T22:28:27.170037+00:00,OK,12,12,602,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/23/20260823T222827Z.jsonl
20260823T232715Z,2026-08-23T23:27:15.248162+00:00,OK,12,12,592,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/23/20260823T232715Z.jsonl
20260824T014436Z,2026-08-24T01:44:36.730705+00:00,OK,12,12,600,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T014436Z.jsonl
20260824T031007Z,2026-08-24T03:10:07.682882+00:00,OK,12,12,588,12,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T031007Z.jsonl
20260824T045259Z,2026-08-24T04:52:59.609623+00:00,OK,12,6,346,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T045259Z.jsonl
20260824T054323Z,2026-08-24T05:43:23.896000+00:00,OK,6,6,338,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T054323Z.jsonl
20260824T071033Z,2026-08-24T07:10:33.920841+00:00,OK,6,6,336,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T071033Z.jsonl
20260824T085600Z,2026-08-24T08:56:00.176050+00:00,OK,6,6,340,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T085600Z.jsonl
20260824T095506Z,2026-08-24T09:55:06.656122+00:00,OK,6,6,336,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T095506Z.jsonl
20260824T104253Z,2026-08-24T10:42:53.971757+00:00,OK,6,6,336,6,0,0,0,{},/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_levels_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/orderbook_summary_202608.csv,/home/runner/work/Kalshi-Weather-Trading/Kalshi-Weather-Trading/data/raw/kalshi_orderbooks/raw/2026/08/24/20260824T104253Z.jsonl
