run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma,nll_rank,brier_rank,log_loss_rank,rank_sum
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.15,test,1.8413984420039642,1.1058501818153867,0.11704674105465598,2.8234819020522703,2.7388929945440204,68.0,58.0,61.0,187.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.18,validation,1.8893340487504435,1.120737714378068,0.12102515105958185,2.721277227767957,2.754150720441274,85.0,59.0,70.0,214.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.18,test,1.8497392493530163,1.1093315598583546,0.11731016066383551,2.8971379516710254,2.810342377010386,85.0,59.0,70.0,214.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.2,validation,1.8922284482837974,1.1220206363040874,0.121068465876459,2.767400570611482,2.800831241126719,98.0,67.0,82.0,247.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.2,test,1.855783787265499,1.1120383134473333,0.11752459166206974,2.9462419847501944,2.85797529865463,98.0,67.0,82.0,247.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.25,validation,1.9015455876987535,1.1266496184043795,0.1213159370427229,2.8827089277202935,2.9175325428403327,171.0,87.0,131.0,389.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.25,test,1.8723391232214923,1.1199870606881916,0.11818449023612294,3.0690020674481193,2.97705760276524,171.0,87.0,131.0,389.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.3,validation,1.9133665284772137,1.1330247470330141,0.12174305651693917,2.9980172848291056,3.034233844553946,224.0,134.0,197.0,555.0
plus_ndfd_metadata__skew_normal__control_120_lr005_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,control_120_lr005_depth2_leaf50_sub1_direct,1.3,test,1.890595464754356,1.1293756631601954,0.119002151607888,3.1917621501460447,3.096139906875849,224.0,134.0,197.0,555.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,0.9,validation,1.9273683936932593,1.1527984376571485,0.1242809511103677,2.0661027310323035,2.124143046926548,246.0,251.0,252.0,749.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,0.9,test,1.825436789183293,1.1127143972959437,0.11795858753730375,2.213813974952899,2.17152086581309,246.0,251.0,252.0,749.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,0.95,validation,1.9019240455017175,1.1354849340320317,0.12287577240333392,2.180886216089653,2.242150993978023,174.0,225.0,212.0,611.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,0.95,test,1.8168223553480376,1.1026286072964728,0.11711262501679406,2.336803640228059,2.292160913913817,174.0,225.0,212.0,611.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.0,validation,1.8860922094567556,1.1239320996380857,0.12182923836472248,2.2956697011470037,2.360158941029498,69.0,144.0,99.0,312.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.0,test,1.8154219972096217,1.0974213064711964,0.11661260102889788,2.459793305503221,2.4128009620145443,69.0,144.0,99.0,312.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.03,validation,1.8803398961985842,1.1192974885038687,0.12135825670074296,2.364539792181414,2.430963709260383,49.0,91.0,60.0,200.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.03,test,1.8173633153047979,1.0962339553967226,0.11646157948169074,2.5335871046683174,2.4851849908749806,49.0,91.0,60.0,200.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.05,validation,1.8778391211458425,1.1170400288643714,0.12110503504059907,2.410453186204354,2.478166888080973,36.0,68.0,46.0,150.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.05,test,1.8196386841239807,1.096141532578041,0.11641792254618064,2.582782970778382,2.5334410101152716,36.0,68.0,46.0,150.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.08,validation,1.8758589351371973,1.1147737281644485,0.12081106880040282,2.479323277238764,2.548971656311858,32.0,46.0,28.0,106.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.08,test,1.8243437302778724,1.0969404755939534,0.11643229864627624,2.6565767699434786,2.6058250389757083,32.0,46.0,28.0,106.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.1,validation,1.875601042464855,1.1139425565951635,0.12066937377146814,2.525236671261704,2.596174835132448,29.0,30.0,21.0,80.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.1,test,1.8282494939801812,1.0980403211255483,0.11649197841200591,2.705772636053543,2.654081058215999,29.0,30.0,21.0,80.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.12,validation,1.8761081261140122,1.1136067391484594,0.12056882101963948,2.571150065284644,2.643378013953038,33.0,22.0,17.0,72.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.12,test,1.8327045771590174,1.0995521051081072,0.11658933136576141,2.7549685021636074,2.70233707745629,33.0,22.0,17.0,72.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.15,validation,1.8781621273437707,1.1139504507949982,0.12049102764871382,2.6400201563190544,2.7141827821839226,39.0,12.0,22.0,73.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.15,test,1.8403078661085235,1.1025218795794827,0.11680171579742346,2.828762301328704,2.7747211063167256,39.0,12.0,22.0,73.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.18,validation,1.8815963266650781,1.1152108149294024,0.12049548247882036,2.708890247353464,2.7849875504148076,52.0,13.0,33.0,98.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.18,test,1.8488830278689423,1.1062475819661186,0.11708814587742766,2.9025561004938005,2.847105135177162,52.0,13.0,33.0,98.0
plus_ndfd_metadata__skew_normal__quick_100_lr006_depth2_leaf50_sub1_direct,plus_ndfd_metadata,38,skew_normal,quick_100_lr006_depth2_leaf50_sub1_direct,1.2,validation,1.884567565729891,1.1165101685297696,0.1205412772194564,2.7548036413764043,2.8321907292353976,61.0,19.0,43.0,123.0
