date,catalog_url,file_url,filename,inferred_variable,issue_time,center,local_path,download_status,skip_reason
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YADZ98_KWBN_202306062250,YADZ98_KWBN_202306062250,,2023-06-06T22:50:00,KWBN,data\raw\ndfd\202306\20230606\YADZ98_KWBN_202306062250,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YADZ98_KWBN_202306062353,YADZ98_KWBN_202306062353,,2023-06-06T23:53:00,KWBN,data\raw\ndfd\202306\20230606\YADZ98_KWBN_202306062353,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ97_KWBN_202306062136,YAEZ97_KWBN_202306062136,,2023-06-06T21:36:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ97_KWBN_202306062136,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ97_KWBN_202306062335,YAEZ97_KWBN_202306062335,,2023-06-06T23:35:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ97_KWBN_202306062335,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ98_KWBN_202306061851,YAEZ98_KWBN_202306061851,,2023-06-06T18:51:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ98_KWBN_202306061851,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ98_KWBN_202306061953,YAEZ98_KWBN_202306061953,,2023-06-06T19:53:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ98_KWBN_202306061953,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ98_KWBN_202306062053,YAEZ98_KWBN_202306062053,,2023-06-06T20:53:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ98_KWBN_202306062053,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ98_KWBN_202306062149,YAEZ98_KWBN_202306062149,,2023-06-06T21:49:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ98_KWBN_202306062149,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ98_KWBN_202306062250,YAEZ98_KWBN_202306062250,,2023-06-06T22:50:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ98_KWBN_202306062250,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAEZ98_KWBN_202306062353,YAEZ98_KWBN_202306062353,,2023-06-06T23:53:00,KWBN,data\raw\ndfd\202306\20230606\YAEZ98_KWBN_202306062353,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAFZ97_KWBN_202306062136,YAFZ97_KWBN_202306062136,,2023-06-06T21:36:00,KWBN,data\raw\ndfd\202306\20230606\YAFZ97_KWBN_202306062136,dry_run,
2023-06-06,https://www.ncei.noaa.gov/thredds/catalog/model-ndfd-file/access/202306/20230606/catalog.xml,https://www.ncei.noaa.gov/thredds/fileServer/model-ndfd-file/access/202306/20230606/YAFZ97_KWBN_202306062335,YAFZ97_KWBN_202306062335,,2023-06-06T23:35:00,KWBN,data\raw\ndfd\202306\20230606\YAFZ97_KWBN_202306062335,dry_run,
