updated_at,starting_cash_dollars,cash_balance_dollars,open_position_cost_dollars,open_exposure_dollars,realized_pnl_dollars,fees_paid_dollars,portfolio_value_proxy_dollars,filled_order_count,open_order_count,rejected_order_count
2026-06-04T23:26:07.100177+00:00,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2026-06-04T23:29:25.041087+00:00,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
