run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.7,validation,1.4704242658887923,1.0195759316196644,0.4787220765915316,0.7758850279277254,0.9412135745270422
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.7,test,2.0558117269219087,1.2377581604165842,0.5566272213705357,0.7865933706221284,0.9378563927037051
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.8,validation,1.355447159322619,0.9517102900162737,0.47047815477431043,0.8867257462031148,1.075672656602334
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.8,test,1.814183029456061,1.129367449939404,0.5392116370537462,0.8989638521395754,1.071835877375663
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.9,validation,1.302853586068838,0.915063549217783,0.46690064465150716,0.9975664644785043,1.2101317386776258
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,0.9,test,1.6747575424414334,1.0621342780832081,0.5270277796066792,1.0113343336570224,1.205815362047621
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.0,validation,1.2863447155885703,0.8981449664108205,0.46675503968918614,1.1084071827538933,1.3445908207529176
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.0,test,1.5961383148239956,1.0213375636490547,0.5189604707908794,1.1237048151744693,1.3397948467195788
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.1,validation,1.2914853321824131,0.8941628230524212,0.4691173475863806,1.2192479010292827,1.4790499028282094
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.1,test,1.5553242913611498,0.9981009560967812,0.5141067299836716,1.2360752966919162,1.4737743313915368
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.2,validation,1.3099153614921129,0.8988802175023667,0.47331111407544046,1.330088619304672,1.6135089849035011
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.2,test,1.5388020481409612,0.9865987603749375,0.5117587794479642,1.348445778209363,1.6077538160634945
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.3,validation,1.3365856542616645,0.9095453527323561,0.4788431762886633,1.4409293375800614,1.747968066978793
current36__normal__standard_120_lr005_leaf50,current36,36,normal,standard_120_lr005_leaf50,1.3,test,1.5382712541076022,0.9831638739427963,0.5113688677361491,1.4608162597268102,1.7417333007354525
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,0.7,validation,1.1563819155645887,0.9595875640939089,0.48898040796184766,0.645422917378353,0.8502965225531979
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,0.7,test,1.482739376049393,1.1018052009815391,0.5630693224124802,0.6583739998221874,0.8401716296477629
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,0.8,validation,1.1322053783429693,0.9322749447915445,0.4796099594370526,0.7376261912895465,0.9717674543465119
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,0.8,test,1.4264837708441804,1.0560889896324852,0.5463090946905897,0.7524274283682142,0.9601961481688721
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,0.9,validation,1.127326690785687,0.9180794706125883,0.47409074701980647,0.8298294652007396,1.0932383861398258
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,0.9,test,1.3966546970774367,1.0268308142908777,0.5340394952805695,0.8464808569142409,1.0802206666899812
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.0,validation,1.1345578278725805,0.912680056326167,0.4714595427899633,0.922032739111933,1.2147093179331399
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.0,test,1.3839255251967608,1.0087538861538095,0.5252521855878308,0.9405342854602676,1.20024518521109
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.1,validation,1.1495803343006876,0.9133525123950484,0.471003453970431,1.0142360130231263,1.3361802497264539
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.1,test,1.3826168697423116,0.9985220436339696,0.5191812872289279,1.0345877140062945,1.3202697037321993
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.2,validation,1.169685316810136,0.9183073938940736,0.47219371073537764,1.1064392869343196,1.4576511815197677
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.2,test,1.3891125506829627,0.9939341763150585,0.5152445550746517,1.128641142552321,1.440294222253308
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.3,validation,1.1931149214619803,0.9263299783647126,0.47463575881301756,1.198642560845513,1.579122113313082
current36__laplace__standard_120_lr005_leaf50,current36,36,laplace,standard_120_lr005_leaf50,1.3,test,1.4010265924689023,0.9934873664162964,0.512996832974169,1.222694571098348,1.560318740774417
full_safe39__normal__standard_120_lr005_leaf50,full_safe39,39,normal,standard_120_lr005_leaf50,0.7,validation,1.5456325359371326,1.0343659633766336,0.4871273081985005,0.7685817914236284,0.9325304873077107
full_safe39__normal__standard_120_lr005_leaf50,full_safe39,39,normal,standard_120_lr005_leaf50,0.7,test,2.239507757965309,1.2983067876259409,0.5746838675498264,0.7785399073249416,0.9319624627312739
full_safe39__normal__standard_120_lr005_leaf50,full_safe39,39,normal,standard_120_lr005_leaf50,0.8,validation,1.4133979220716562,0.9641133251516416,0.47877055178186984,0.8783791901984325,1.0657491283516696
full_safe39__normal__standard_120_lr005_leaf50,full_safe39,39,normal,standard_120_lr005_leaf50,0.8,test,1.9545242807303307,1.177822948658201,0.5558384155284912,0.8897598940856477,1.0650999574071705
full_safe39__normal__standard_120_lr005_leaf50,full_safe39,39,normal,standard_120_lr005_leaf50,0.9,validation,1.348972658628312,0.92565957610187,0.4749389760849304,0.9881765889732366,1.1989677693956282
