run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,0.7,validation,1.2878182065960302,0.9779768117263615,0.4875442662838046,0.5012428696981474,0.5460716118544218
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,0.7,test,1.5552174455569143,1.0795202425980988,0.5425182415788363,0.5202456400814888,0.5617201794695701
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,0.8,validation,1.2932151405755232,0.9761218778511064,0.4842179745981872,0.5728489939407398,0.6240818421193393
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,0.8,test,1.5477820727413352,1.0684513123292054,0.5345763650394233,0.5945664458074157,0.6419659193937943
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,0.9,validation,1.306207209851346,0.9786743598470421,0.4834193692442282,0.6444551181833323,0.7020920723842566
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,0.9,test,1.5490115079713598,1.0626888725199577,0.5294445228398494,0.6688872515333426,0.7222116593180186
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.0,validation,1.3243490949586814,0.9844838466763024,0.4845539037351263,0.7160612424259248,0.780102302649174
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.0,test,1.5563795132867773,1.0609074164220096,0.5265038303284214,0.7432080572592695,0.8024573992422429
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.1,validation,1.3460180196419094,0.9927453407245019,0.487176802280739,0.7876673666685174,0.8581125329140915
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.1,test,1.5681784955783826,1.0621758101360652,0.5252886320256887,0.8175288629851967,0.8827031391664673
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.2,validation,1.370104031790318,1.0028770503715108,0.49095060182797745,0.8592734909111096,0.9361227631790088
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.2,test,1.583215659832016,1.0658181437365895,0.5254432374227331,0.8918496687111236,0.9629488790906915
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.3,validation,1.3958296818391205,1.0144475592245372,0.49561620896859626,0.9308796151537022,1.0141329934439263
current36__cauchy__standard_120_lr005_leaf50,current36,36,cauchy,standard_120_lr005_leaf50,1.3,test,1.6006356321367738,1.0713307288029128,0.5266923999323493,0.9661704744370506,1.043194619014916
