run_id,feature_set,feature_count,distribution,hyperparams_name,sigma_factor,split,nll,bucket_log_loss,bucket_brier,mean_sigma,median_sigma
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,0.7,validation,1.1558347570422822,0.9599706054537848,0.49018142412268173,0.647767076660709,0.8538415067949018
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,0.7,test,1.4853015413879793,1.1065058476285885,0.5659912557894987,0.6593395984641564,0.8422106303276437
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,0.8,validation,1.1328251836984164,0.9328680388518844,0.48073917770785474,0.7403052304693818,0.9758188649084594
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,0.8,test,1.4295600190791886,1.0604403309947643,0.5490463411857115,0.7535309696733217,0.9625264346601643
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,0.9,validation,1.1288541347127201,0.9188526837742885,0.47515580931999524,0.8328433842780545,1.0977962230220166
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,0.9,test,1.4001307875652171,1.0309245792421295,0.5366109419744348,0.8477223408824868,1.0828422389926846
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.0,validation,1.1368113826568826,0.9136123675255059,0.4724707887086025,0.9253815380867272,1.219773581135574
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.0,test,1.3877214894867598,1.012654158291865,0.5276780630661005,0.9419137120916519,1.2031580433252054
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.1,validation,1.1524279797863914,0.9144284945038632,0.4719719655967557,1.0179196918954,1.3417509392491316
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.1,test,1.3866745489613976,1.0022753568395462,0.521481256446069,1.0361050833008174,1.3234738476577257
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.2,validation,1.1730280378803413,0.9195153002008972,0.47313029553591424,1.1104578457040728,1.4637282973626888
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.2,test,1.3933883256762885,0.9975753552667234,0.5174368368782949,1.1302964545099823,1.4437896519902464
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.3,validation,1.1968765526421488,0.9276605797281813,0.4755504558979613,1.2029959995127457,1.5857056554762463
current36__laplace__standard_120_lr005_leaf20,current36,36,laplace,standard_120_lr005_leaf20,1.3,test,1.4054869100404306,0.9970431045213487,0.515097881824717,1.2244878257191474,1.5641054563227668
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,0.7,validation,1.1873734406240193,0.9629316558997856,0.49073303383297845,0.6639215172572923,0.8814220676119734
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,0.7,test,1.5148918040630601,1.1106510759198889,0.5682060882848609,0.6779434562895287,0.864486835906047
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,0.8,validation,1.16857857683462,0.9376028805434776,0.481960397888821,0.7587674482940485,1.0073395058422554
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,0.8,test,1.4635476885245224,1.066259098365161,0.5517158524635062,0.7747925214737471,0.9879849553211968
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,0.9,validation,1.1678856352801752,0.9251681826987512,0.47703476904672315,0.8536133793308045,1.1332569440725373
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,0.9,test,1.4375386622763044,1.03822446129395,0.5397525285873759,0.8716415866579654,1.1114830747363462
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.0,validation,1.1784653691693392,0.9213591937042295,0.47499077251709315,0.9484593103675606,1.2591743823028192
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.0,test,1.4278655284104491,1.021290664793324,0.5312979540133618,0.968490651842184,1.2349811941514959
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.1,validation,1.1962276366174858,0.9234868750581748,0.4751146362824141,1.043305241404317,1.3850918205331013
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.1,test,1.429057267695398,1.0121350459555396,0.5255801821828594,1.0653397170264025,1.3584793135666455
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.2,validation,1.2186157533103,0.9297865176845155,0.4768772759690552,1.1381511724410727,1.511009258763383
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.2,test,1.4376366109188816,1.0085661079247,0.5220128702945042,1.1621887822106205,1.481977432981795
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.3,validation,1.2439772407326852,0.9390616028593456,0.47988404590539807,1.2329971034778289,1.636926696993665
current36__laplace__medium_300_lr003_leaf50,current36,36,laplace,medium_300_lr003_leaf50,1.3,test,1.4513137515595247,1.009088194115207,0.5201477957204281,1.2590378473948391,1.6054755523969446
